expid,year,season,host,route1,route2,campsites,nation,leaders,success1,success2,claimed,disputed,countries,bcdate,smtdate,smttime,smthour,smtmin,smtdays,totdays,termdate,termreason,highpoint,traverse,ski,parapente,camps,rope,totmembers,smtmembers,mdeaths,tothired,smthired,hdeaths,nohired,o2used,o2none,o2climb,o2descent,o2sleep,o2medical,o2taken,o2unkwn,accidents,achievment,agency,comrte,stdrte,primrte,primmem,primref,chksum
EVER93113,1993,1,2,N Col-NE Ridge,,"BC(02/04,5200m),ABC(07/04,6450m),C1(11/04,1050m),C2(25/04,7700m),C3(16/05,8300m),Smt(27/05)",Ireland,Dawson Stelfox,TRUE,FALSE,FALSE,FALSE,UK,1993/4/2,1993/5/27,1007,10,7,55,60,1993/6/1,1,8850,FALSE,FALSE,FALSE,3,0,16,1,0,3,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,1st Irish ascent/British ascent N Ridge,Nepal Trek House,TRUE,TRUE,FALSE,FALSE,FALSE,2451308
EVER93119,1993,1,2,N Col-NE Ridge,SE Ridge-S Col,"BC(29/03),C2.ABC(03/04,6500m),C3(10/04,7000m),C4(11/04,7700m),Biv1(12/04,8300m),Smt(13/04)",S Korea,Oh In-Hwan,TRUE,FALSE,FALSE,FALSE,,1993/3/29,1993/4/13,1330,13,30,15,21,1993/4/19,1,8850,TRUE,FALSE,FALSE,6,0,5,1,0,1,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Ngati frostbite 6 fingers but will be OK; Heo altitude cough to day; cook Pasang altitude sickness & given oxygen,1st unsupported N-S traverse,None,FALSE,FALSE,FALSE,FALSE,FALSE,2451264
EVER93302,1993,3,2,N Col-N Face,,"BC(22/08,5300m),C1(26/08,6050m),C2(27/08,6500m),C3(02/09,7010m),C4(18/09,7900m),C5(05/10,8300m),Smt(06/10)",S Korea,Lim Hyung-Chil,TRUE,FALSE,FALSE,FALSE,,1993/8/22,1993/10/6,1455,14,55,45,51,1993/10/12,1,8850,FALSE,FALSE,FALSE,5,0,11,1,0,3,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None,1st autumn ascent of classical route on north side,Himalayan Explorers,TRUE,TRUE,FALSE,FALSE,FALSE,2451440
EVER93307,1993,3,2,N Col-N Face,,"BC(30/08,5200m),ABC(08/09,6400m),C1(11/09,7000m),C2A(18/09,7800m),C2B(7900m),C3(08/10,8100m),Smt(09-10/10)",UK,Jonathan Tinker,TRUE,FALSE,FALSE,FALSE,"Australia, Finland, France, Ireland, Poland, Russia, USA",1993/8/30,1993/10/9,,,,40,49,1993/10/18,1,8850,FALSE,FALSE,FALSE,3,0,23,2,1,4,2,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None except Henize's fatal altitude sickness,1st Polish summiter from Tibet,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2451443
EVER94103,1994,1,2,N Col-N Ridge-N Face,,"BC(16/03),C1(21/03,5650m),C2(24/03,6100m),C3(28/03,6500m),C4(02/04,7000m),C5(05/05,7800m),C6(18/05,8300m),Smt(19,25-26,31/05)",USA,Eric Simonson,TRUE,FALSE,FALSE,FALSE,"Australia, New Zealand",1994/3/16,1994/5/19,1655,16,55,64,0,  -   -,1,8850,FALSE,FALSE,FALSE,6,0,24,5,1,12,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Ang Phinzo stroke at ABC 5th May but recovered completely; Hahn needed help in descent, so did Morgan; Rheinburger died of exhaustion after summiting",,Great Escapes Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2451711
EVER94106,1994,1,2,N Col-N Ridge-N Face,Great Couloir,"BC(26/03),ABC(01/04,6500m),C1(08/04,7028m),C2(21/04,7790m),C3(04/05,8300m),Smt(08/05)",Taiwan,Chang Jui-Kong,TRUE,FALSE,FALSE,FALSE,,1994/3/26,1994/5/8,1718,17,18,43,50,1994/5/15,1,8850,TRUE,FALSE,FALSE,3,0,13,1,1,4,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None except Shih's death,,Peak Promotion,FALSE,FALSE,FALSE,FALSE,FALSE,2451700
EVER95103,1995,1,2,N Col-NE Ridge,,"BC(23/03),ABC(08/04,6500m),C1(20/04,7000m),C2(23/04,7900m),C3(30/04,8300m),Smt(12/05)",Taiwan,Liang Ming-Pen,TRUE,FALSE,FALSE,FALSE,,1995/3/23,1995/5/12,1130,11,30,50,0,  -   -,1,8850,FALSE,FALSE,FALSE,3,0,13,2,0,7,3,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None,1st Han Chinese woman and 1st Taiwanese,Surya Travel,TRUE,TRUE,FALSE,FALSE,FALSE,2452070
EVER95104,1995,1,2,N Col-NE Ridge,,"BC(24/03),ABC(09/04),C4(18/04,7000m),C5(27/04,7800m),C6(04/05,8300m),Smt(14,16/05)",USA,Paul Pfau,TRUE,FALSE,FALSE,FALSE,Australia,1995/3/24,1995/5/14,530,5,30,51,0,  -   -,1,8850,FALSE,FALSE,FALSE,3,457,20,8,0,14,5,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,None,,Peak Promotion,TRUE,TRUE,FALSE,FALSE,FALSE,2452072
EVER95105,1995,1,2,N Col-NE Ridge,,"BC(31/03,5500m),ABC(03/04,6300m),C1(17/04,7000m),C2(08/05,7600m),C3(11/05,8200m),Smt(12-13/05)",Italy,Marco Bianchi,TRUE,FALSE,FALSE,FALSE,Poland,1995/3/31,1995/5/12,1130,11,30,42,0,  -   -,1,8850,FALSE,FALSE,FALSE,3,250,6,3,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Terlikowski thrombosis/phlebitis in leg; Gozdzik pulmonary edema,,Thamserku Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2452070
EVER95106,1995,1,2,N Col-NE Ridge,,"BC(04/04),ABC(09/04,6250m),C1(19/04,7000m0,C2(23/04,7550m),C3(09/05,8200m),Smt(11,13/05)",Russia,Kazbek Khamitsayev,TRUE,FALSE,FALSE,FALSE,,1995/4/4,1995/5/11,1800,18,0,37,0,  -   -,1,8850,FALSE,FALSE,FALSE,3,300,23,7,0,2,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Nothing serious,1st Ossetian summiter; 2nd oldest summiters,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2452069
EVER95107,1995,1,2,N Col-NE Ridge,,"BC(07/04),ABC(17/04,6450m),C1(22/04,7000m),C2(01/05,7750m),C3(13/05,8350m),Smt(16/05)",USA,Thor Kieser,TRUE,FALSE,FALSE,FALSE,Peru,1995/4/7,1995/5/16,1000,10,0,39,0,  -   -,1,8850,FALSE,FALSE,FALSE,3,0,12,1,0,4,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Caffrey chest infection; Gocking, Tonsing and Kaji frostbite",Altitude record for under 16 yrs old,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2452074
EVER95108,1995,1,2,N Col-NE Ridge,,"BC(09/04),ABC(14/04,6400m),C1(20/04,7000m),C2(01/05,7800m),C3(15/05,8200m),Smt(17,26/05)",UK,Russell Brice,TRUE,FALSE,FALSE,FALSE,"Australia, Canada, Finland, France, New Zealand, Romania, USA",1995/4/9,1995/5/17,1400,14,0,38,39,  -   -,1,8850,FALSE,FALSE,FALSE,3,0,14,2,0,6,2,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Jones intestinal problem,1st Romanian to top,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2452075
EVER95110,1995,1,2,N Col-NE Ridge,,"BC(11/04),ABC(18/04,6300m),C1(22/04,7000m),C2(25/04,7400m),C3(11/05,8200m),Smt(14/05)",Austria,Wilhelm Bauer,TRUE,FALSE,FALSE,FALSE,,1995/4/11,1995/5/14,1830,18,30,33,41,1995/5/22,1,8850,FALSE,FALSE,FALSE,3,0,10,1,0,3,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Obojes altitude sickness, Bauer phlebitis in right leg on descent from summit bid in ABC; no frostbite",,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2452072
EVER95111,1995,1,2,N Col-NE Ridge,,"BC(10/04),ABC(16/04,6450m),C1(25/04,7000m),C2(30/04,7800m),C3(13/05,8300m),Smt(14/05)",Latvia,"Reinhard Patscheider, Teodor Kirsis",TRUE,FALSE,FALSE,FALSE,Italy,1995/4/10,1995/5/14,430,4,30,34,47,1995/5/27,1,8850,FALSE,FALSE,FALSE,3,0,8,3,0,2,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Patscheider head and stomach problems and came to KTM; Pauls kidney problem only,,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2452072
EVER95113,1995,1,2,N Col-NE Ridge,,"BC(15/04),ABC(19/04,6450m),C1(22/04,7000m),C2(01/05,7800m),C2(08/05,7600m),C3(11/05,8200m),Smt(12,14,17,23/05)",UK,Henry Todd,TRUE,FALSE,FALSE,FALSE,"Brazil, Denmark, France, Ireland, Kazakhstan, Poland, Russia",1995/4/15,1995/5/12,1130,11,30,27,0,  -   -,1,8850,FALSE,FALSE,FALSE,3,0,12,8,0,4,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Nothing except Todd's back out again,,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2452070
EVER95114,1995,1,2,N Col-NE Ridge,,"C3(c8200m),Smt(14,17,24,26-27/05)",UK,Jonathan Tinker,TRUE,FALSE,FALSE,FALSE,"Australia, France, Ireland, Russia, Turkey, USA",  -   -,1995/5/14,710,7,10,0,0,  -   -,1,8850,FALSE,FALSE,FALSE,1,0,19,9,0,12,4,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Zalokar bronchial sickness; Alen frostbitten fingers but will heal; Smith's lung partly collasped when oxygen ran out on near summit,,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2452072
EVER95115,1995,1,2,N Col-NE Ridge,,"BC(09/04),ABC(14/04,6400m),C1(11/05,7700m),C2(12/05,8300m),Smt(13/05)",UK,Alison Hargreaves,TRUE,FALSE,FALSE,FALSE,,1995/4/9,1995/5/13,1208,12,8,34,39,1995/5/18,1,8850,FALSE,FALSE,FALSE,0,0,1,1,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2452071
EVER95305,1995,3,2,N Col-NE Ridge,,"ChineseBC(02/09,6000m),C2.ABC(06/09,6500m),C3(21/09,7000m),C4(07/10,7900m),C5(08/10,8350m),Smt(14/10)",S Korea,Kim Jong-Ho,TRUE,FALSE,FALSE,FALSE,,1995/9/2,1995/10/14,,,,42,0,  -   -,1,8850,FALSE,FALSE,FALSE,4,0,8,1,0,6,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Park critical stomach perforation & appendicitis; Jo slight frostbite,,Windhorse Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2452225
EVER96107,1996,1,2,N Col-NE Ridge,,"BC(04/04),ABC(14/04,6450m),C4(27/04,7020m),C5(10/05,8300m),Smt(11,13/05)",Japan,"Katsutoshi Ikebe, Mitsuo Uematsu",TRUE,FALSE,FALSE,FALSE,,1996/4/4,1996/5/11,1245,12,45,37,44,1996/5/18,1,8850,FALSE,FALSE,FALSE,3,4500,16,4,0,14,6,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Nothing,,Rolwaling Treks,TRUE,TRUE,FALSE,FALSE,FALSE,2452436
EVER96110,1996,1,2,N Col-N Ridge-N Face,,"BC(05/04,5200m),C1(5700m),C2(5800m),C3.ABC(10/04,6400m),C4(19/04,7040m),C5(03/05,7850m),C6(09/05,8320m),Smt(10,17/05)",India,Mohinder Singh,TRUE,FALSE,FALSE,FALSE,Mongolia,1996/4/5,1996/5/10,1010,10,10,35,52,1996/5/27,1,8850,FALSE,FALSE,FALSE,6,0,33,8,3,13,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3 died on summit attempt,,Amtrek,TRUE,TRUE,FALSE,FALSE,FALSE,2452435
EVER96114,1996,1,2,N Col-N Ridge-N Face,,"ChineseBC(07/04,5200m),ABC(11/04,6450),C1(20/04,7060),C2(15/05,7800m),C3(16/05,8300m),Smt(17-18/05)",Norway,Jon Gangdal,TRUE,FALSE,FALSE,FALSE,"Czech Republic, Italy",1996/4/7,1996/5/17,1010,10,10,40,44,1996/5/21,1,8850,FALSE,FALSE,FALSE,3,0,8,5,0,3,3,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Arnesen vision affected by altitude and couldn't go up,,Rolwaling Treks,TRUE,TRUE,FALSE,FALSE,FALSE,2452442
EVER96118,1996,1,2,N Col-N Ridge-N Face,,"ChineseBC(10/04,5200m),ABC(17/04,6400m),C1(27/04,7000m),C2(16/05,7800m),C3(18/05,8300m),Smt(19/05)",UK,Simon Lowe,TRUE,FALSE,FALSE,FALSE,"Netherlands, Norway, USA",1996/4/10,1996/5/19,,,,39,46,1996/5/26,1,8850,FALSE,FALSE,FALSE,3,0,11,2,0,9,3,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Nothing serious,,Amtrek,TRUE,TRUE,FALSE,FALSE,FALSE,2452444
EVER96120,1996,1,2,N Col-N Ridge-N Face,,"ChineseBC(13/04),ABC(15/04,6300m),C4(01/05,7000m),C5(15/05,7800m),C6(16/05,8300m),Smt(17,21/05)",Japan,Koji Yamazaki,TRUE,FALSE,FALSE,FALSE,,1996/4/13,1996/5/17,1210,12,10,34,44,1996/5/27,1,8850,FALSE,FALSE,FALSE,6,0,6,2,0,7,2,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Yamazaki one frostbitten finger,,Cosmo Treks,TRUE,TRUE,FALSE,FALSE,FALSE,2452442
EVER96126,1996,1,2,N Col-N Ridge-N Face,,"ChineseBC(17/04,5200m),ABC(20/04,6470m),C1(27/04,7000m),C2(08/05,7800m),C3(09/05,8250m),Smt(24/05)",Germany,Peter Kowalzik,TRUE,FALSE,FALSE,FALSE,"Austria, Mexico",1996/4/17,1996/5/24,1344,13,44,37,40,1996/5/27,1,8850,FALSE,FALSE,FALSE,3,0,5,2,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Delgado pulmonary and cerebral edema and badly frostbitten toes (may lose end of one toe),,Thamserku Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2452449
EVER96130,1996,1,2,N Col-N Ridge-N Face,,"ChineseBC(17/05,5200m),ABC(19/05,6400m),C1(23/05,7000m),Smt(24/05)",Italy,Hans Kammerlander,TRUE,FALSE,FALSE,FALSE,,1996/5/17,1996/5/24,935,9,35,7,0,  -   -,1,8850,FALSE,TRUE,FALSE,1,0,4,1,0,4,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,Fastest ascent and normal trip and 1st ski descent from summit,Thamserku Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2452449
