expid,year,season,host,route1,route2,campsites,nation,leaders,success1,success2,claimed,disputed,countries,bcdate,smtdate,smttime,smthour,smtmin,smtdays,totdays,termdate,termreason,highpoint,traverse,ski,parapente,camps,rope,totmembers,smtmembers,mdeaths,tothired,smthired,hdeaths,nohired,o2used,o2none,o2climb,o2descent,o2sleep,o2medical,o2taken,o2unkwn,accidents,achievment,agency,comrte,stdrte,primrte,primmem,primref,chksum
EVER02112,2002,1,2,N Col-N Face,,"BC(08/04),ABC(15/04,6400m),C1(20/04,7000m),C2(15/05,7700m),C3(16/05,8300m),Smt(17/05)",France,Robert Larrandaburu,TRUE,FALSE,FALSE,FALSE,,2002/4/8,2002/5/17,1100,11,0,39,47,2002/5/25,1,8850,FALSE,FALSE,FALSE,3,0,5,2,0,2,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Muktu Lhakpa fell and had internal injuries; Larrandaburu frostbitten fingers and snowblind in C3,1st Northern (French) Basque in Nepalese Himalaya,Thamserku Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2458464
EVER02113,2002,1,2,N Col-NE Ridge,,"BC(11/04,5100m),IBC(14/04,5800m),ABC(15/04,6400m),C1(19/04,7000m),C2(05/05,7800m),C3(16/05,8300m),Smt(17/05)",Spain,Jorge Egocheaga,TRUE,FALSE,FALSE,FALSE,,2002/4/11,2002/5/17,830,8,30,36,39,2002/5/20,1,8850,FALSE,FALSE,FALSE,3,0,1,1,0,1,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2458464
EVER02114,2002,1,2,N Col-NE Ridge,,"TempBC(11/04,5100m),IntC(14/04,5800m),ABC(15/04,6400m),C1(02/05,7000m),C2(15/05,7700m),C3(16/05,8300m),Smt(17/05)",Germany,Hartmut Bielefeldt,TRUE,FALSE,FALSE,FALSE,,2002/4/11,2002/5/17,1130,11,30,36,45,2002/5/26,1,8850,FALSE,FALSE,FALSE,3,0,2,2,0,1,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2458464
EVER02115,2002,1,2,N Col-N Face,,"BC(08/04,5200m),ABC(14/04,6400m),C1(01/05,7000m),C2(10/05,7500m),C3(16/05,7900m),C4(16/05,8300m),Smt(17,25/05)",New Zealand,Russell Brice,TRUE,FALSE,FALSE,FALSE,"Canada, China, France, Japan, Spain",2002/4/8,2002/5/17,630,6,30,39,53,2002/5/31,1,8850,FALSE,FALSE,FALSE,4,0,7,2,0,4,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Mountain Experience,TRUE,TRUE,FALSE,FALSE,FALSE,2458464
EVER02116,2002,1,2,N Col-N Face,,"BC(13/04,5200m),ABC(18/04,6400m),C1(22/04,7000m),C2(13/05,7500m),C3(14/05,7800m),C4(15/05,8300m),Smt(16/05)",Switzerland,Karl Kobler,TRUE,FALSE,FALSE,FALSE,"France, Italy",2002/4/13,2002/5/16,1000,10,0,33,0,  -   -,1,8850,FALSE,FALSE,FALSE,4,0,16,6,0,11,5,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Meyer intestinal infection, but no other serious medical problems",,Iceland Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2458463
EVER02117,2002,1,2,N Col-NE Ridge,,"BC(11/04,5100m),TempBC(14/04,5800m),ABC(15/04,6400m),C1(19/04,7000m),C2(05/05,7800m),C3(16/05,8300m),Smt(17/05)",Switzerland,Daniel Perler,TRUE,FALSE,FALSE,FALSE,,2002/4/11,2002/5/17,830,8,30,36,0,  -   -,1,8850,FALSE,FALSE,FALSE,3,0,1,1,0,1,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2458464
EVER02119,2002,1,2,N Col-N Face,,"BC(05/04),ABC(11/04,6400m),C1(18/04,7000m),C2(14/05,7700m),C3(15/05,8200m),Smt(16/05)",UK,David Pritt,TRUE,FALSE,FALSE,FALSE,Ireland,2002/4/5,2002/5/16,1245,12,45,41,51,2002/5/26,1,8850,FALSE,FALSE,FALSE,3,0,11,3,0,4,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2458463
EVER02124,2002,1,2,N Col-N Face,,"BC(14/04),ABC(19/04,6400m),C1(26/04,7000m),C2(09/05,7700m),C3(24/05,8300m),Smt(25/05)",Mexico,Alejandro Villarreal,TRUE,FALSE,FALSE,FALSE,,2002/4/14,2002/5/25,930,9,30,41,47,2002/5/31,1,8850,FALSE,FALSE,FALSE,3,0,1,1,0,1,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2458472
EVER02125,2002,1,2,N Col-NE Ridge,,"BC(11/04,5200m),IBC(14/04,6800m),ABC(15/04,6400m),C1(19/04,7100m),C2(04/05,7600m),C3(15/05,7800m),C4(16/05,8300m),Smt(17/05)",Mexico,Jorge Hermosillo,TRUE,FALSE,FALSE,FALSE,,2002/4/11,2002/5/17,1115,11,15,36,45,2002/5/26,1,8850,FALSE,FALSE,FALSE,4,0,7,4,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2458464
EVER02126,2002,1,2,N Col-NE Ridge,,"BC(11/04),ABC(16/04,6400m),C1(28/04,7000m),C2(15/05,7800m),C3(16/05,8300m),Smt(17/05)",Mexico,Mauricio Lopez,TRUE,FALSE,FALSE,FALSE,,2002/4/11,2002/5/17,1000,10,0,36,42,2002/5/23,1,8850,FALSE,FALSE,FALSE,3,0,2,1,0,2,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Arun Treks,TRUE,TRUE,FALSE,FALSE,FALSE,2458464
EVER02128,2002,1,2,N Col-N Face,,"BC(16/04),ABC(17/04,6400m),C1(14/05,7000m),C2(15/05,7900m),C3(16/05,8300m),Smt(17/05)",USA,Gheorghe Dijmarescu,TRUE,FALSE,FALSE,FALSE,,2002/4/16,2002/5/17,,,,31,35,2002/5/21,1,8850,FALSE,FALSE,FALSE,3,0,1,1,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2458464
EVER02145,2002,1,2,N Col-NE Ridge,,"BC(11/03,5200m),ABC(11/04,6500m),C1(24/04,7028m),C2(15/05,7900m),C3(16/05,8300m),Smt(17/05)",China,Wang Tian-Han,TRUE,FALSE,FALSE,FALSE,,2002/3/11,2002/5/17,1000,10,0,67,0,  -   -,1,8850,FALSE,FALSE,FALSE,0,0,1,1,0,1,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,None,TRUE,TRUE,FALSE,FALSE,FALSE,2458464
EVER03109,2003,1,2,N Col-N Face,,"BC(09/04),ABC(16/04,6400m),C1(28/04,7000m),C2(21/05,7640m),C3(29/05,8200m),Smt(30/05)",USA,Steven Marolt,TRUE,FALSE,FALSE,FALSE,,2003/4/9,2003/5/30,800,8,0,51,50,2003/5/31,1,8850,FALSE,TRUE,FALSE,3,0,9,1,0,1,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2458843
EVER03117,2003,1,2,N Col-N Face,,"BC(18/04),ABC(24/04,6300m),C1(28/04,7000m),C2(24/05,7800m),C3(25/05,8300m),Smt(26/05)",Italy,Tarcisio Bello,TRUE,FALSE,FALSE,FALSE,,2003/4/18,2003/5/26,1145,11,45,38,41,2003/5/29,1,8850,FALSE,FALSE,FALSE,3,0,7,1,0,3,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Muktu Sherpa pulmonary edema; Castagna cerebral edema at North Col; Dalla Torre serious eye problem,,Thamserku Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2458884
EVER03123,2003,1,2,N Col-NE Ridge,,"BC(08/04,5200m),ABC(12/04,6700m),C1(16/04,7300m),C2(03/05,7900m),Smt(21/05)",India,Vijay Singh Thakur,TRUE,FALSE,FALSE,FALSE,"Bhutan, Nepal",2003/4/8,2003/5/21,1245,12,45,43,47,2003/5/25,1,8850,FALSE,FALSE,FALSE,2,7000,16,2,0,3,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Arun Treks,TRUE,TRUE,FALSE,FALSE,FALSE,2458879
EVER03135,2003,1,2,N Col-NE Ridge,,"BC(14/04,5200m),ABC(22/04,6400m),C1(24/04,7100m),C2(20/05,7800m),C3(21/05,8300m),Smt(22/05)",USA,Benjamin Clark,TRUE,FALSE,FALSE,FALSE,,2003/4/14,2003/5/22,900,9,0,38,43,2003/5/27,1,8850,FALSE,FALSE,FALSE,3,0,1,1,0,2,2,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Nomad Expeditions,TRUE,TRUE,FALSE,FALSE,FALSE,2458880
EVER03137,2003,1,2,N Col-NE Ridge,,"BC(12/04,5200m),ABC(17/04,6400m),C1(27/04,7050m),C2(05/05,7600m),C3(18/05,8300m),Smt(22/05)",UK,Nick Arding,TRUE,FALSE,FALSE,FALSE,,2003/4/12,2003/5/22,930,9,30,40,45,2003/5/27,1,8850,FALSE,FALSE,FALSE,3,0,13,1,0,4,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Minor frostbite,1st ascent of Royal Navy,Himalaya Expeditions,TRUE,TRUE,FALSE,FALSE,FALSE,2458880
EVER03138,2003,1,2,N Col-N Face,,"BC(10/04,5200m),ABC(19/04,6400m),C1(25/04,7000m),C1.5(30/04,4500m),C2(20/05,7650m),C3(22/05,8300m),Smt(31/05)",UK,Richard Dougan,TRUE,FALSE,FALSE,FALSE,"Ireland, New Zealand",2003/4/10,2003/5/31,700,7,0,51,55,2003/6/4,1,8850,FALSE,FALSE,FALSE,3,0,6,2,0,1,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Synnott serious cerebral edema; Dougan two frostbitten fingers; Sharp left toe frostbitten and finger nails,,Explore Himalaya,TRUE,TRUE,FALSE,FALSE,FALSE,2458889
EVER03139,2003,1,2,N Col-NE Ridge,,"BC(31/03),ABC(09/04,6400m),C1(21/04,7000m),C2(19/05,7800m),C3(20/05,8200m),Smt(21/05)",USA,Jim Wickwire,TRUE,FALSE,FALSE,FALSE,,2003/3/31,2003/5/21,745,7,45,51,56,2003/5/26,1,8850,FALSE,FALSE,FALSE,3,0,4,2,0,4,2,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Wickwire not acclimatizing; John bad throat; Jess bad tooth and had to go to KTM; Bass bad back and not higher than ABC,,Nepal Village Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2458879
EVER03141,2003,1,2,N Col-N Face,,"BC(07/04,5300m),ABC(16/04,6400m),C1(25/04,7000m),C2(26/04,7500m),C3(17/05,7900m),C4(18/05,8300m),Smt(22,31/05)",New Zealand,Russell Brice,TRUE,FALSE,FALSE,FALSE,"Australia, China, Germany, Kuwait, UK, USA",2003/4/7,2003/5/22,900,9,0,45,58,2003/6/4,1,8850,FALSE,FALSE,FALSE,4,0,9,8,0,4,4,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Comoto slightly frostbitten fingers,,Mountain Experience,TRUE,TRUE,FALSE,FALSE,FALSE,2458880
EVER03142,2003,1,2,N Col-NE Ridge,,"BC(07/04,5180m),ABC(14/04,6400m),C1(23/04,7000m),C2(19/05,7700m),C3(20/05,8300m),Smt(20-21/05)",USA,Craig John,TRUE,FALSE,FALSE,FALSE,"Australia, Canada, Spain",2003/4/7,2003/5/20,1130,11,30,43,48,2003/5/25,1,8850,FALSE,FALSE,FALSE,3,700,8,1,0,5,2,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Harlingten from lack of oxygen; fall of White and also little frostbite of two fingers in each hand,,Great Escapes Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2458878
EVER03144,2003,1,2,N Col-N Face,,"BC(07/04,5300m),ABC(16/04,6400m),C1(25/04,7000m),C2(26/04,7500m),C3(17/05,7900m),C4(18/05,8300m),Smt(30/05)",USA,Russell Brice,TRUE,FALSE,FALSE,FALSE,New Zealand,2003/4/7,2003/5/30,900,9,0,53,58,2003/6/4,1,8850,FALSE,FALSE,FALSE,4,0,11,6,0,9,6,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Warner hit by falling oxygen bottles on back of head and left 26 May,,Mountain Experience,TRUE,TRUE,FALSE,FALSE,FALSE,2458888
EVER03147,2003,1,2,N Col-NE Ridge,,"BC(15/04,5200m),ABC(22/04,6400m),C1(27/04,7000m),C2(20/05,7700m),C3(21/05,8300m),Smt(22/05)",France,Denis Etienne,TRUE,FALSE,FALSE,FALSE,,2003/4/15,2003/5/22,930,9,30,37,42,2003/5/27,1,8850,FALSE,FALSE,FALSE,3,0,5,1,0,5,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Great Himalayan Adventure (GHA),TRUE,TRUE,FALSE,FALSE,FALSE,2458880
EVER03148,2003,1,2,N Col-NE Ridge,,"BC(21/04,5200m),ABC(27/04,6400m),C1(07/05,7000m),C2(18/05,7700m),C3(21/05,8300m),Smt(22/05)",France,"Olivier Besson, Pierre Blanc",TRUE,FALSE,FALSE,FALSE,,2003/4/21,2003/5/22,800,8,0,31,36,2003/5/27,1,8850,FALSE,FALSE,FALSE,3,0,2,2,0,1,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Great Himalayan Adventure (GHA),TRUE,TRUE,FALSE,FALSE,FALSE,2458880
EVER03154,2003,1,2,N Col-N Face,,"BC(10/04,5100m),ABC(15/04,6780m),C1(17/04,7000m),C2(27/04,7500m),C3(21/05,7900m),C4(21/05,8300m),Smt(26,29/05)",Russia,Alexander Abramov,TRUE,FALSE,FALSE,FALSE,Georgia,2003/4/10,2003/5/26,945,9,45,46,50,2003/5/30,1,8850,FALSE,FALSE,FALSE,4,0,12,3,0,3,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2458884
EVER03158,2003,1,2,N Col-NE Ridge,,"BC(29/03,5200m),ABC(02/04,6400m),C1(17/04,7050m),C2(01/05,7600m),C3(22/05,7800m),C4(21/05,8300m),Smt(21/05)",Estonia,Toivo Sarmet,TRUE,FALSE,FALSE,FALSE,Lithuania,2003/3/29,2003/5/22,1440,14,40,54,58,2003/5/26,1,8850,FALSE,FALSE,FALSE,4,0,8,2,0,2,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Margus Proos fell into crevasse about 4 meters deep on 18th,1st Estonian expedition to summit,Monterosa Treks,TRUE,TRUE,FALSE,FALSE,FALSE,2458880
EVER03159,2003,1,2,N Col-NE Ridge,,"BC(08/04,5100m),ABC(19/04,6300m),C1(22/04,7000m),C2(18/05,7800m),C3(19/05,8300m),Smt(20,22/05)",Japan,Takashi Amemiya,TRUE,FALSE,FALSE,FALSE,France,2003/4/8,2003/5/20,915,9,15,42,50,2003/5/28,1,8850,FALSE,FALSE,FALSE,3,450,14,5,0,7,6,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Kitazawa got HAS at 6000m on 14th April (he could not speak and left half of body was paralyzed); moved to CBC same day and next day to KTM; left Nepal May 8,,Cosmo Treks,TRUE,TRUE,FALSE,FALSE,FALSE,2458878
EVER03160,2003,1,2,N Col-NE Ridge,,"BC(10/04),ABC(28/04,6430m),C1(01/05,7000m),C2(07/05,7700m),C3(10/05,8200m),Smt(21/05)",Japan,Jun Yasamura,TRUE,FALSE,FALSE,FALSE,,2003/4/10,2003/5/21,1235,12,35,41,47,2003/5/27,1,8850,FALSE,FALSE,FALSE,3,0,4,2,0,3,2,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Ito pulmonary edema (17 Apr to KTM and to Japan); Araki snowblindness,,Rolwaling Excursion,TRUE,TRUE,FALSE,FALSE,FALSE,2458879
EVER03162,2003,1,2,N Col-NE Ridge,,"BC(08/04,5170m),ABC(12/04,6400m),C1(21/04,7060m),C2(10/05,7750m),C3(21/05,8300m),Smt(22/05)",Russia,Anatoli Moshnikov,TRUE,FALSE,FALSE,FALSE,Canada,2003/4/8,2003/5/22,1215,12,15,44,50,2003/5/28,1,8850,FALSE,FALSE,FALSE,3,6700,9,1,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Ershova pneumonia in BC,,Royal Mountain Travel,TRUE,TRUE,FALSE,FALSE,FALSE,2458880
EVER03164,2003,1,2,N Col-NE Ridge,,"BC(07/04,5200m),ABC(11/04,6400m),C1(01/05,7000m),C2(20/05,7700m),C3(21/05,8200m),Smt(22,31/05)",Romania,David Neacsu,TRUE,FALSE,FALSE,FALSE,"Nepal, UK, USA",2003/4/7,2003/5/22,810,8,10,45,48,2003/5/25,1,8850,FALSE,FALSE,TRUE,3,0,16,6,0,7,5,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,One Sherpa suffered from ulcer (sent back to KTM on May 4 or 5),1st Romanian team to top,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2458880
EVER03165,2003,1,2,N Col-NE Ridge,,"BC(23/03,05-06/04),ABC(09/04,6500m),C1(25/04,7000m),C2(26/04,7790m),C3(20/05,8300m),Smt(21-22/05)",China,Wang Yong-Feng,TRUE,FALSE,FALSE,FALSE,,2003/4/3,2003/5/21,1145,11,45,48,54,2003/5/27,1,8850,FALSE,FALSE,FALSE,3,2000,18,6,0,17,11,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Phu Dorje and 1 Chinese summiter snowblind and 2 Chinese slightly frostbitten fingers,,Great Escapes Trekking/Arun Treks,TRUE,TRUE,FALSE,FALSE,FALSE,2458879
EVER03166,2003,1,2,N Col-N Face,,"BC(10/04,5000m),ABC(14/04,6300m),C1(19/04,7000m),C2(19/05,7800m),C3(20/05,8300m),Smt(21-22/05)",S Korea,Kang Tae-Sun,TRUE,FALSE,FALSE,FALSE,China,2003/4/10,2003/5/21,1230,12,30,41,45,2003/5/25,1,8850,FALSE,FALSE,FALSE,3,400,24,9,0,5,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Only Chi bad snowblindness and Um slight snowblindness,,NE-KO Treks,TRUE,TRUE,FALSE,FALSE,FALSE,2458879
EVER04104,2004,1,2,N Col-NE Ridge,,"BC(05/04,5200m),ABC(09/04,6400m),C1(20/04,7000m),C2(06/05,7400m),C3(07/05,7900m),C4(19/05,8350m),Smt(20/05)",Netherlands,Wilco van Rooijen,TRUE,FALSE,FALSE,FALSE,,2004/4/5,2004/5/20,745,7,45,45,51,2004/5/26,1,8850,FALSE,FALSE,FALSE,4,0,3,1,0,2,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Doorakkers twisted ankle while descending from C2 to C1 on May 7 (rested for one week, but could not attempt for summit)",,Mt. Pumori Adventures (Monterosa permit),TRUE,TRUE,FALSE,FALSE,FALSE,2459245
EVER04105,2004,1,2,N Col-NE Ridge,,"BC(14/04),ABC(14/04,6400m),C1(26/04,7050m),C2(16/05,7900m),C3(17/05,8300m),Smt(18/05)",Greece,Konstantinos Tsivelekas,TRUE,FALSE,FALSE,FALSE,"Cyprus, UK",2004/4/14,2004/5/18,715,7,15,34,39,2004/5/23,1,8850,FALSE,FALSE,FALSE,3,0,9,3,0,6,4,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Tsianos snowblind on 18 April below first step in descent; Chisti stomach ache (left expedition about 5 May),,Thamserku Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2459243
EVER04106,2004,1,2,N Col-NE Ridge,,"BC(10/04),ABC(17/04,6400m),C1(29/04,7000m),C2(15/05,7700m),C3(16/05,8300m),Smt(17/05)",France,Hugues d'Aubarede,TRUE,FALSE,FALSE,FALSE,,2004/4/10,2004/5/17,1300,13,0,37,44,2004/5/24,1,8850,FALSE,FALSE,FALSE,3,0,2,1,0,2,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Thamserku Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2459242
EVER04107,2004,1,2,N Col-NE Ridge,,"BC(08/04,5100m),ABC(14/04,6400m),C1(23/04,7000m),C2(07/05,7700m),C3(17/05,8300m),Smt(18,20/05)",Bulgaria,Metodi Savov,TRUE,FALSE,FALSE,FALSE,,2004/4/8,2004/5/18,830,8,30,40,48,2004/5/26,1,8850,FALSE,FALSE,FALSE,3,0,10,4,1,2,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Petkov's blindness; Hristov died during descent,,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2459243
EVER04110,2004,1,2,N Col-N Face,,"BC(13/04,5200m),ABC(18/04,6400m),C1(25/04,7000m),C2(30/04,7700m),C3(23/05,8300m),Smt(24-25/05)",Russia,Alexander Abramov,TRUE,FALSE,FALSE,FALSE,"Italy, USA, Uzbekistan",2004/4/13,2004/5/24,900,9,0,41,51,2004/6/3,1,8850,FALSE,FALSE,FALSE,3,0,11,3,0,3,2,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2459249
EVER04115,2004,1,2,N Col-NE Ridge,,"BC(08/04),ABC(21/04,6400m),C1(25/04,7070m),C2(09/05,7800m),C3(17/05,8250m),Smt(18-20/05)",Italy,Giuseppe Pompili,TRUE,FALSE,FALSE,FALSE,,2004/4/8,2004/5/18,1100,11,0,40,50,2004/5/28,1,8850,FALSE,FALSE,FALSE,3,0,4,3,0,1,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Dal Cin frostbite,,Sherpa Alpine Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2459243
EVER04116,2004,1,2,N Col-NE Ridge,,"BC(12/04,5250m),IC(12/04,5800m),ABC(16/04,6400m),C1(19/04,7000m),C2(06/05,7500m),C3(17/05,7900m),Smt(17/05)",Austria,Paul Koller,TRUE,FALSE,FALSE,FALSE,Germany,2004/4/12,2004/5/17,930,9,30,35,45,2004/5/27,1,8850,FALSE,FALSE,FALSE,3,0,2,1,0,1,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2459242
EVER04118,2004,1,2,N Col-NE Ridge,,"BC(12/04,5250m),IC(16/04,5800m),ABC(17/04,6400m),C1(21/04,7000m),C2(07/05,7500m),C3(17/05,8300m),Smt(18/05)",France,Jacques Marmet,TRUE,FALSE,FALSE,FALSE,,2004/4/12,2004/5/18,700,7,0,36,45,2004/5/27,1,8850,FALSE,FALSE,FALSE,3,0,1,1,0,1,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2459243
EVER04119,2004,1,2,N Col-NE Ridge,,"BC(07/04),ABC(14/04,6400m),C1(18/04,7000m),C2(21/05,7700m),C3(26/05,8300m),Smt(27/05)",Russia,Viatcheslav Skripko,TRUE,FALSE,FALSE,FALSE,,2004/4/7,2004/5/27,815,8,15,50,54,2004/5/31,1,8850,FALSE,FALSE,FALSE,3,0,4,1,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2459252
EVER04121,2004,1,2,N Col-NE Ridge,,"BC(12/04),ABC(19/04,6400m),C1(01/05,7000m),C2(16/05,7900m),Smt(17/05)",France,Bertrand Roche,TRUE,FALSE,FALSE,FALSE,Austria,2004/4/12,2004/5/17,1100,11,0,35,36,2004/5/18,1,8850,FALSE,FALSE,FALSE,2,0,3,2,0,3,2,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Thamserku Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2459242
EVER04122,2004,1,2,N Col-NE Ridge,,"BC(04/04),ABC(16/04,6400m),C1(17/05,7000m),C2(18/05,7900m),C3(19/05,8200m),Smt(20/05)",Mexico,Guillermo Carro Blaizac,TRUE,FALSE,FALSE,FALSE,,2004/4/4,2004/5/20,1100,11,0,46,51,2004/5/25,1,8850,FALSE,FALSE,FALSE,3,0,1,1,0,0,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,Asian Trekking,TRUE,TRUE,FALSE,FALSE,FALSE,2459245
EVER04124,2004,1,2,N Col-NE Ridge,,"BC(03/04,5200m),ABC(08/04,6400m),C1(15/04,7050m),C2(16/05,7900m),C3(17/05,8300m),Smt(20/05)",S Africa,Paul Firth,TRUE,FALSE,FALSE,FALSE,"Norway, USA",2004/4/3,2004/5/20,1045,10,45,47,53,2004/5/26,1,8850,FALSE,FALSE,FALSE,3,2400,4,1,0,4,2,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,1st Norwegian woman,Arun Treks,TRUE,TRUE,FALSE,FALSE,FALSE,2459245
EVER04127,2004,1,2,N Col-N Face,N Col,"BC(30/03),ABC1(02/04,5600m),ABC2(03/04,6200m),C1(20/04,7100m),C2(28/04,7500m),C3(11/05,7800m),C4(27/05,8250m),C5(28/05,8600m),Smt(30-31/05,01/06)",Russia,Victor Kozlov,TRUE,FALSE,FALSE,FALSE,Uzbekistan,2004/3/30,2004/5/30,745,7,45,61,66,2004/6/4,1,8850,FALSE,FALSE,FALSE,5,5000,21,8,0,3,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Bobok and Jilin hit by falling stones below C1 (had to wait 10 days before going up again),1st ascent of this route to top,Asian Trekking,FALSE,FALSE,FALSE,FALSE,FALSE,2459255
