campsites,year
"BC(13/04),Temp(17/04,5900m),ABC(18/04,6700m),C1(20/04,7000m),C2(25/04,7650m),C3(18/05,8300m),Smt(19/05)",1998
"BC(15/04),BC.Sherpa(19/04),ABC(26/04,6500m),C1(28/04,7000m),C2(21/05,7600m),C3(23/05,8300m),Smt(24/05)",1998
"BC(15/04),ABC(21/04,6400m),C1(29/04,7000m),C2(03/05,7500m),C3(04/05,7900m),C4(24/05,8300m),Smt(25/05)",1998
"BC(15/04),ABC(20/04,6400m),C1(27/04,7000m),C2(7500m),C3(23/05,7800m),C4(24/05,8300m),Smt(25/05)",1998
"BC(19/04,5150m),ABC.C3(21/04,6400m),C4(24/04,7100m),C5(28/04,7700m),C6(17/05,8200m),Smt(18,20,22/05)",1998
"BC(24/04,5200m),ABC(28/04,6400m),C1(01/05,7100m),C2(16/05,7700m),C3(17/05,8300m),Smt(26/05)",1998
"BC(19/04),ABC(23/04,6400m),C1(26/04,7000m),C2(08/05,7700m),C3(25/05,8200m),Smt(26/05)",1999
"BC(01/05),ABC(05/05-Sherpas),ABC(07/05,6400m),C1(10/05,7000m),C2(27/05,7600m),C3(28/05,8300m),Smt(29/05)",1999
"BC(06/04),ABC(13/04,6400m),C1(20/04,7000m),C2(7800m),C3(8200m),Smt(18/05)",1999
"BC(11/04),ABC(16/04,6400m),C1(18/04,7000m),C2(24/04,7800m),C3(04/05,8300m),Smt(26/05)",1999
"BC(11/04),ABC(16/04,6400m),C1(23/04,7050m),C2(24/05,7800m),C3(25/05,8300m),Smt(26/05)",1999
"ABC(6500m),C1(7000m),C2(7800m),C3(8300m),Smt(28/05)",1999
"BC(15/04,5100m),ABC(18/04,6400m),C1(22/04,7000m),C2(27/04,7700m),C3(27/05,8300m),Smt(27-28/05)",1999
"BC(09/04,5200m),Interm(09/04,5200m),ABC(15/04,6400m),C1(21/04,7000m),C2(04/05,7500m),C3(05/05,7900m),C4(26/05,8300m),Smt(27/05)",1999
"BC(11/04,5000m),ABC(16/04,6400m),C1(18/04,7050m),C2(24/05,7700m),C3(25/05,8300m),Smt(26/05)",1999
"BC(13/04),ABC(17/04,6400m),C1(23/04,7000m),C2(02/05,7700m),C3(17/05,8260m),Smt(18/05)",1999
"BC(30/03),ABC(04/04,6350m),C1(07/04,7050m),C2(26/04,7200m),C3(07/05,8300m),Smt(08/05)",1999
"BC(16/04,5100m),ABC(20/04,6400m),C1(22/04,7000m),C2A(27/04,7600m),C2B(11/05,7900m),C3A(23/05,8300m),C3B(25/05,8400m),Smt(25-26/05)",1999
"BC(15/04,5240m),C1(17/04),C2(18/04,5500m),C3(19/04,6400m),C4(22/04,7040m),C5(04/05,7450m),C6(16/05,8200m),Smt(17-19/05)",2000
"BC(17/04,5100m),Intermed(20/04,5600m),ABC(21/04,6300m),C1(25/04,7000m),C2(26/04,7700m),C3(16/05,8200m),Smt(17/05)",2000
"BC(13/04),C1(7000m),C2(17/05,7800m),C3(18/05,8300m),Smt(19/05)",2000
"BC(20/04),ABC(22/04,6400m),C1(27/04,7100m),C2(15/05,7850m),C3(16/05,8350m),Smt(17,19/05)",2000
"BC(14/04,5100m),ABC(19/04,6300m),C1(26/04,7050m),C2(01/05,7500m),C3(14/05,8200m),Smt(17,19/05)",2000
"BC(10/04),ABC(15/04,6400m),C1(20/04,7000m),C2(06/05,7600m),C3(15/05,7900m),C4(22/05,8300m),Smt(28/05)",2000
